,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.471,0.619,0.725,0.86
Molformer,0.455,0.606,0.737,0.867
Molbert,0.51,0.651,0.697,0.837
LASSO,0.432,0.589,0.751,0.869
Two Groups Lasso,0.417,0.554,0.78,0.883
Three Groups Lasso,0.425,0.565,0.771,0.879
Elastic Net,0.43,0.586,0.754,0.87
SVR,0.514,0.67,0.678,0.861
Random Forest,0.605,0.767,0.579,0.79
XGBoost,0.501,0.672,0.677,0.828
Neural Network,0.392,0.528,0.8,0.9
