,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.497,0.674,0.9,0.952
Molformer,0.475,0.62,0.915,0.966
Molbert,0.396,0.515,0.941,0.971
LASSO,0.475,0.628,0.913,0.955
Group Lasso (Two Groups),0.472,0.588,0.924,0.961
Group Lasso (Four Groups),0.455,0.59,0.923,0.961
Elastic Net,0.458,0.586,0.924,0.962
SVR,0.602,0.815,0.853,0.942
Random Forest,0.65,0.834,0.846,0.933
XGBoost,0.569,0.731,0.882,0.947
Neural Network,0.463,0.607,0.918,0.961
