,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.471,0.619,0.725,0.86
Molformer,0.455,0.606,0.737,0.867
Molbert,0.51,0.651,0.697,0.837
LASSO,0.426,0.565,0.771,0.88
Group Lasso (Two Groups),0.43,0.562,0.773,0.88
Group Lasso (Four Groups),0.425,0.562,0.773,0.88
Elastic Net,0.422,0.563,0.773,0.881
SVR,0.549,0.71,0.638,0.834
Random Forest,0.613,0.775,0.57,0.791
XGBoost,0.514,0.678,0.67,0.828
Neural Network,0.4,0.542,0.79,0.892
