,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.863,0.907,0.957,0.988
Molformer,0.926,0.954,0.921,0.964
Molbert,0.941,0.962,0.964,0.989
Elastic Net,0.902,0.936,0.962,0.99
LASSO,0.926,0.952,0.965,0.991
SVM,0.907,0.939,0.95,0.986
Random Forest,0.912,0.944,0.974,0.993
XGBoost,0.892,0.93,0.967,0.991
Neural Network,0.897,0.932,0.929,0.973
