,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.98,0.824,0.975,0.855
Molformer,0.94,0.526,0.896,0.48
Molbert,0.932,0.286,0.831,0.244
LASSO,0.979,0.8,1.0,1.0
Two Groups LASSO,0.979,0.8,0.963,0.831
Four Groups LASSO,0.973,0.75,0.963,0.838
Elastic Net,1.0,1.0,1.0,1.0
SVM,0.952,0.364,0.987,0.87
Random Forest,0.952,0.364,0.997,0.948
XGBoost,1.0,1.0,1.0,1.0
Neural Network,0.973,0.75,0.968,0.821
