,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.497,0.674,0.9,0.952
Molformer,0.475,0.62,0.915,0.966
Molbert,0.396,0.515,0.941,0.971
Elastic Net,0.37,0.495,0.946,0.974
LASSO,0.359,0.476,0.95,0.975
SVR,0.473,0.662,0.903,0.954
Random Forest,0.401,0.502,0.944,0.972
XGBoost,0.407,0.55,0.933,0.966
Neural Network,0.418,0.529,0.938,0.97
