,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.471,0.619,0.725,0.86
Molformer,0.455,0.606,0.737,0.867
Molbert,0.51,0.651,0.697,0.837
LASSO,0.821,1.059,0.196,0.449
Elastic Net,0.822,1.059,0.196,0.449
SVR,0.797,1.059,0.196,0.485
Random Forest,0.862,1.106,0.124,0.405
XGBoost,0.821,1.064,0.189,0.441
Neural Network,0.8,1.04,0.226,0.479
