,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.471,0.619,0.725,0.86
Molformer,0.455,0.606,0.737,0.867
Molbert,0.51,0.651,0.697,0.837
Elastic Net,0.417,0.549,0.784,0.887
LASSO,0.409,0.543,0.789,0.889
SVR,0.443,0.582,0.758,0.871
Random Forest,0.451,0.582,0.757,0.874
XGBoost,0.441,0.568,0.769,0.878
Neural Network,0.424,0.557,0.778,0.883
