,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.497,0.674,0.9,0.952
Molformer,0.475,0.62,0.915,0.966
Molbert,0.396,0.515,0.941,0.971
Elastic Net,0.37,0.495,0.946,0.974
LASSO,0.359,0.476,0.95,0.975
SVR,0.409,0.553,0.932,0.967
Random Forest,0.411,0.513,0.942,0.971
XGBoost,0.454,0.593,0.922,0.965
Neural Network,0.374,0.492,0.946,0.974
