,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.654,0.644,0.747,0.806
Molformer,0.68,0.68,0.852,0.877
Molbert,0.719,0.736,0.775,0.855
LASSO,0.993,0.995,1.0,1.0
Group Lasso (2 Groups),0.837,0.857,0.928,0.943
Group Lasso (4 Groups),0.837,0.857,0.938,0.951
Elastic Net,1.0,1.0,1.0,1.0
SVM,0.647,0.609,0.906,0.923
Random Forest,0.889,0.901,0.991,0.993
XGBoost,1.0,1.0,1.0,1.0
Neural Network,0.791,0.807,0.917,0.94
