,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.8,1.273,0.88,0.945
Molformer,0.738,1.346,0.866,0.931
Molbert,0.855,1.383,0.858,0.93
Elastic Net,0.718,1.185,0.896,0.947
LASSO,0.695,1.169,0.899,0.948
SVR,1.231,2.211,0.637,0.801
Random Forest,0.846,1.478,0.838,0.916
XGBoost,0.753,1.302,0.874,0.94
Neural Network,0.804,1.283,0.878,0.94
