,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.471,0.619,0.725,0.86
Molformer,0.455,0.606,0.737,0.867
Molbert,0.51,0.651,0.697,0.837
LASSO,0.451,0.607,0.736,0.86
Two Groups Lasso,0.469,0.615,0.729,0.855
Three Groups Lasso,0.45,0.594,0.747,0.865
Elastic Net,0.446,0.598,0.744,0.865
SVR,0.567,0.73,0.618,0.82
Random Forest,0.605,0.766,0.58,0.789
XGBoost,0.511,0.672,0.676,0.833
Neural Network,0.446,0.586,0.754,0.869
