,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.873,0.913,0.954,0.986
Molformer,0.882,0.924,0.868,0.913
Molbert,0.892,0.93,0.951,0.983
Elastic Net,0.921,0.948,0.964,0.99
LASSO,0.921,0.948,0.964,0.989
SVM,0.901,0.936,0.966,0.989
Random Forest,0.901,0.936,0.967,0.99
XGBoost,0.906,0.939,0.971,0.991
Neural Network,0.876,0.917,0.952,0.985
