,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.487,0.648,0.707,0.847
Molformer,0.494,0.663,0.694,0.838
Molbert,0.515,0.694,0.664,0.817
Elastic Net,0.463,0.615,0.736,0.863
LASSO,0.459,0.608,0.743,0.865
SVR,0.507,0.672,0.686,0.828
Random Forest,0.48,0.629,0.725,0.852
XGBoost,0.48,0.64,0.715,0.846
Neural Network,0.478,0.626,0.727,0.855
