,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.487,0.648,0.707,0.847
Molformer,0.494,0.663,0.694,0.838
Molbert,0.515,0.694,0.664,0.817
LASSO,0.845,1.039,0.248,0.501
Elastic Net,0.846,1.039,0.247,0.501
SVR,0.833,1.061,0.216,0.483
Random Forest,0.875,1.095,0.165,0.441
XGBoost,0.852,1.052,0.228,0.478
Neural Network,0.843,1.043,0.242,0.503
