,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.654,0.644,0.747,0.806
Molformer,0.68,0.68,0.852,0.877
Molbert,0.719,0.736,0.775,0.855
LASSO,1.0,1.0,1.0,1.0
Group Lasso (2 Groups),0.895,0.912,0.952,0.965
Group Lasso (3 Groups),0.902,0.917,0.96,0.97
Elastic Net,0.993,0.995,1.0,1.0
SVM,0.634,0.594,0.906,0.922
Random Forest,0.922,0.931,0.997,0.998
XGBoost,1.0,1.0,1.0,1.0
Neural Network,0.81,0.828,0.938,0.96
