,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.476,0.635,0.898,0.95
Molformer,0.501,0.675,0.885,0.955
Molbert,0.492,0.644,0.896,0.946
Elastic Net,0.443,0.603,0.908,0.958
LASSO,0.425,0.575,0.917,0.96
SVR,0.545,0.724,0.868,0.936
Random Forest,0.421,0.548,0.924,0.964
XGBoost,0.458,0.598,0.91,0.957
Neural Network,0.561,0.733,0.865,0.933
