,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.487,0.648,0.707,0.847
Molformer,0.494,0.663,0.694,0.838
Molbert,0.515,0.694,0.664,0.817
LASSO,0.431,0.546,0.793,0.891
Group Lasso (2 groups),0.42,0.534,0.801,0.895
Group Lasso (4 groups),0.412,0.524,0.809,0.899
Elastic Net,0.43,0.544,0.794,0.892
SVR,0.552,0.712,0.647,0.846
Random Forest,0.602,0.761,0.596,0.813
XGBoost,0.51,0.635,0.719,0.866
Neural Network,0.396,0.499,0.827,0.915
