,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.873,0.913,0.954,0.986
Molformer,0.882,0.924,0.868,0.913
Molbert,0.892,0.93,0.951,0.983
Elastic Net,0.921,0.948,0.964,0.99
LASSO,0.921,0.948,0.964,0.989
SVM,0.921,0.948,0.961,0.987
Random Forest,0.946,0.964,0.974,0.992
XGBoost,0.901,0.935,0.968,0.991
Neural Network,0.921,0.947,0.969,0.991
