,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.487,0.648,0.707,0.847
Molformer,0.494,0.663,0.694,0.838
Molbert,0.515,0.694,0.664,0.817
Group Lasso (2 groups),0.576,0.732,0.627,0.793
Group Lasso (4 groups),0.5,0.65,0.706,0.851
SVR,0.566,0.74,0.619,0.818
Random Forest,0.475,0.621,0.732,0.857
XGBoost,0.467,0.614,0.737,0.86
Neural Network,0.536,0.702,0.657,0.814
