,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.654,0.644,0.747,0.806
Molformer,0.68,0.68,0.852,0.877
Molbert,0.719,0.736,0.775,0.855
LASSO,0.974,0.979,1.0,1.0
Elastic Net,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0
XGBoost,1.0,1.0,1.0,1.0
Neural Network,1.0,1.0,1.0,1.0
