,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.476,0.635,0.898,0.95
Molformer,0.501,0.675,0.885,0.955
Molbert,0.492,0.644,0.896,0.946
Elastic Net,0.443,0.603,0.908,0.958
LASSO,0.425,0.575,0.917,0.96
SVR,0.543,0.709,0.873,0.94
Random Forest,0.409,0.542,0.926,0.965
XGBoost,0.4,0.546,0.925,0.965
Neural Network,0.453,0.628,0.901,0.95
