,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.863,1.275,0.862,0.936
Molformer,0.718,1.047,0.907,0.96
Molbert,0.828,1.163,0.885,0.941
Elastic Net,0.783,1.072,0.902,0.955
LASSO,0.735,1.042,0.908,0.955
SVR,0.667,1.056,0.905,0.952
Random Forest,0.673,0.983,0.918,0.958
XGBoost,0.802,1.169,0.884,0.944
Neural Network,0.679,1.02,0.912,0.955
