,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.487,0.648,0.707,0.847
Molformer,0.494,0.663,0.694,0.838
Molbert,0.515,0.694,0.664,0.817
LASSO,0.52,0.655,0.701,0.838
Group Lasso (2 groups),0.526,0.666,0.69,0.834
Group Lasso (3 groups),0.526,0.668,0.689,0.832
Elastic Net,0.536,0.673,0.685,0.828
SVR,0.605,0.784,0.572,0.796
Random Forest,0.704,0.881,0.459,0.716
XGBoost,0.624,0.792,0.563,0.754
Neural Network,0.472,0.607,0.744,0.872
