,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.487,0.648,0.707,0.847
Molformer,0.494,0.663,0.694,0.838
Molbert,0.515,0.694,0.664,0.817
LASSO,0.439,0.565,0.778,0.883
Two Groups Lasso,0.43,0.549,0.79,0.889
Three Groups Lasso,0.439,0.556,0.785,0.886
Elastic Net,0.437,0.552,0.788,0.888
SVR,0.527,0.67,0.687,0.865
Random Forest,0.604,0.758,0.599,0.81
XGBoost,0.488,0.617,0.734,0.873
Neural Network,0.349,0.468,0.847,0.923
