,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.98,0.842,0.989,0.897
Molformer,0.899,0.348,0.841,0.447
Molbert,0.926,0.353,0.88,0.41
LASSO,0.98,0.8,1.0,1.0
Group Lasso (Two Groups),0.98,0.842,0.979,0.917
Group Lasso (Four Groups),0.987,0.889,0.992,0.942
Elastic Net,0.94,0.667,0.998,0.972
SVM,0.973,0.714,0.994,0.951
Random Forest,0.973,0.714,0.999,0.977
XGBoost,1.0,1.0,1.0,1.0
Neural Network,0.987,0.889,0.991,0.853
