,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.873,0.913,0.954,0.986
Molformer,0.882,0.924,0.868,0.913
Molbert,0.892,0.93,0.951,0.983
LASSO,0.97,0.98,0.999,1.0
Group Lasso (Two Groups),0.941,0.96,0.983,0.995
Group Lasso (Four Groups),0.951,0.967,0.988,0.996
Elastic Net,0.985,0.99,1.0,1.0
SVM,0.921,0.95,0.982,0.995
Random Forest,0.985,0.99,0.999,1.0
XGBoost,1.0,1.0,1.0,1.0
Neural Network,0.931,0.954,0.978,0.993
