,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.916,1.365,0.869,0.943
Molformer,0.597,1.064,0.92,0.96
Molbert,0.879,1.531,0.835,0.92
Elastic Net,0.587,1.113,0.913,0.962
LASSO,0.771,1.936,0.736,0.874
SVR,1.236,1.874,0.753,0.893
Random Forest,0.583,0.954,0.936,0.97
XGBoost,0.512,0.755,0.96,0.98
Neural Network,1.042,1.896,0.747,0.868
