,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.561,0.731,0.857,0.929
Molformer,0.487,0.663,0.883,0.942
Molbert,0.538,0.691,0.873,0.939
LASSO,0.47,0.607,0.901,0.949
Group Lasso (Two Groups),0.487,0.656,0.885,0.942
Group Lasso (Four Groups),0.383,0.499,0.933,0.966
Elastic Net,0.444,0.586,0.908,0.954
SVR,0.625,0.815,0.822,0.923
Random Forest,0.667,0.849,0.807,0.908
XGBoost,0.618,0.817,0.822,0.913
Neural Network,0.482,0.627,0.895,0.948
