,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.561,0.731,0.857,0.929
Molformer,0.487,0.663,0.883,0.942
Molbert,0.538,0.691,0.873,0.939
Elastic Net,0.467,0.64,0.891,0.948
LASSO,0.458,0.629,0.894,0.948
SVR,0.461,0.618,0.898,0.948
Random Forest,0.467,0.623,0.896,0.947
XGBoost,0.558,0.716,0.863,0.931
Neural Network,0.438,0.607,0.902,0.95
