,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.916,1.365,0.869,0.943
Molformer,0.597,1.064,0.92,0.96
Molbert,0.879,1.531,0.835,0.92
Elastic Net,0.587,1.113,0.913,0.962
LASSO,0.771,1.936,0.736,0.874
SVR,1.086,1.997,0.719,0.871
Random Forest,0.538,0.884,0.945,0.977
XGBoost,0.523,0.893,0.944,0.976
Neural Network,0.911,1.524,0.836,0.916
