,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.561,0.731,0.857,0.929
Molformer,0.487,0.663,0.883,0.942
Molbert,0.538,0.691,0.873,0.939
Elastic Net,0.467,0.64,0.891,0.948
LASSO,0.458,0.629,0.894,0.948
SVR,0.462,0.613,0.9,0.949
Random Forest,0.47,0.635,0.892,0.945
XGBoost,0.488,0.648,0.888,0.942
Neural Network,0.469,0.638,0.891,0.947
