,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.467,0.619,0.734,0.868
Molformer,0.46,0.614,0.738,0.868
Molbert,0.516,0.66,0.698,0.836
Elastic Net,0.414,0.557,0.785,0.887
LASSO,0.41,0.555,0.786,0.887
SVR,0.449,0.592,0.757,0.871
Random Forest,0.441,0.593,0.756,0.873
XGBoost,0.431,0.572,0.773,0.881
Neural Network,0.425,0.568,0.776,0.884
