,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.467,0.619,0.734,0.868
Molformer,0.46,0.614,0.738,0.868
Molbert,0.516,0.66,0.698,0.836
Elastic Net,0.414,0.557,0.785,0.887
LASSO,0.41,0.555,0.786,0.887
SVR,0.456,0.599,0.751,0.867
Random Forest,0.44,0.593,0.756,0.872
XGBoost,0.438,0.584,0.764,0.876
Neural Network,0.428,0.573,0.772,0.882
