,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.829,0.884,0.949,0.988
Molformer,0.877,0.925,0.879,0.966
Molbert,0.907,0.943,0.951,0.989
LASSO,1.0,1.0,1.0,1.0
Group LASSO Two Groups,0.902,0.937,0.956,0.986
Group LASSO Four Groups,0.907,0.94,0.964,0.99
Elastic Net,1.0,1.0,1.0,1.0
SVM,0.902,0.94,0.956,0.99
Random Forest,0.971,0.982,0.993,0.998
XGBoost,0.99,0.994,1.0,1.0
Neural Network,0.912,0.945,0.945,0.984
