,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.467,0.619,0.734,0.868
Molformer,0.46,0.614,0.738,0.868
Molbert,0.516,0.66,0.698,0.836
LASSO,0.862,1.053,0.23,0.484
Elastic Net,0.86,1.054,0.23,0.487
SVR,0.855,1.072,0.202,0.482
Random Forest,0.882,1.1,0.16,0.447
XGBoost,0.872,1.071,0.203,0.459
Neural Network,0.847,1.044,0.243,0.498
