,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.829,0.884,0.949,0.988
Molformer,0.877,0.925,0.879,0.966
Molbert,0.907,0.943,0.951,0.989
Elastic Net,0.902,0.939,0.938,0.983
LASSO,0.892,0.933,0.955,0.99
SVM,0.912,0.945,0.926,0.979
Random Forest,0.897,0.935,0.937,0.984
XGBoost,0.887,0.929,0.944,0.987
Neural Network,0.882,0.925,0.926,0.976
