,Accuracy,F1 Score,ROC-AUC,PR-AUC
Chemberta2,0.829,0.884,0.949,0.988
Molformer,0.877,0.925,0.879,0.966
Molbert,0.907,0.943,0.951,0.989
Elastic Net,0.902,0.939,0.938,0.983
LASSO,0.892,0.933,0.955,0.99
SVM,0.877,0.922,0.919,0.977
Random Forest,0.882,0.925,0.948,0.987
XGBoost,0.873,0.919,0.941,0.986
Neural Network,0.868,0.915,0.947,0.987
