,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.467,0.619,0.734,0.868
Molformer,0.46,0.614,0.738,0.868
Molbert,0.516,0.66,0.698,0.836
LASSO,0.415,0.532,0.804,0.897
Two Groups Lasso,0.426,0.544,0.794,0.892
Three Groups Lasso,0.403,0.524,0.81,0.9
Elastic Net,0.414,0.531,0.804,0.897
SVR,0.57,0.722,0.638,0.836
Random Forest,0.666,0.826,0.526,0.742
XGBoost,0.53,0.664,0.694,0.84
Neural Network,0.394,0.511,0.818,0.906
