,MAE,RMSE,R2 Score,Correlation
Chemberta2,0.467,0.619,0.734,0.868
Molformer,0.46,0.614,0.738,0.868
Molbert,0.516,0.66,0.698,0.836
LASSO,0.408,0.518,0.814,0.902
Group Lasso (Two Groups),0.428,0.554,0.787,0.897
Group Lasso (Four Groups),0.395,0.512,0.818,0.905
Elastic Net,0.404,0.514,0.817,0.904
SVR,0.549,0.695,0.665,0.851
Random Forest,0.649,0.804,0.551,0.762
XGBoost,0.544,0.672,0.686,0.84
Neural Network,0.401,0.527,0.807,0.901
